# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:13:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6188a017b.json
# init = 2 (Default)
# random
#   seed = 709823802
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281813-1-57e221.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281813-1-62d5e3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-228.52193,1,0.25,1,1,0,256.89589,0.74985692,1.362293,1.0215248,0.34076817,-2.804559,-1.3812646,-1.6171655,-3.1907153,-1.6171655,-2.6404291,-1.8989117,-1.5191605,-1.5135101,-1.3890234,5,8,7,4,7,5,6,8,3,3,5,6,6,8,5,3,4,4,1,3,-0.71167427,0.072775903,2.5086697,0.1825707,2.326099
-228.52193,0,14.38551,0,1,1,228.74839,0.74985692,1.362293,1.0215248,0.34076817,-2.804559,-1.3812646,-1.6171655,-3.1907153,-1.6171655,-2.6404291,-1.8989117,-1.5191605,-1.5135101,-1.3890234,6,6,3,8,4,6,5,5,3,4,7,5,4,8,2,3,6,5,3,3,-0.71167427,0.64024138,3.0600633,1.9591792,1.1008842
-228.52193,0,2.4311673,0,1,1,232.23089,0.74985692,1.362293,1.0215248,0.34076817,-2.804559,-1.3812646,-1.6171655,-3.1907153,-1.6171655,-2.6404291,-1.8989117,-1.5191605,-1.5135101,-1.3890234,3,7,4,6,7,7,4,5,2,3,7,5,3,5,4,3,7,4,4,4,-0.71167427,0.22709731,1.455545,0.33055036,1.1249947
-213.09164,1,0.23979141,3,7,0,227.43568,0.51218628,0.31938697,0.16358563,0.15580135,-2.0465809,-1.7526767,-1.8360406,-2.1967481,-1.8360406,-1.9660567,-1.8646205,-1.7328871,-1.5856472,-1.7643533,7,2,5,6,5,4,6,5,7,3,6,3,6,5,3,1,4,6,2,3,-5.4103418,0.55712621,5.1797054,2.8857496,2.2939558
-210.2518,1,0.32433241,1,1,0,212.17258,0.49984229,0.44853405,0.22419629,0.22433776,-2.0198137,-1.6819162,-1.745278,-2.2262243,-1.745278,-1.9633077,-1.7830008,-1.6395387,-1.507003,-1.681978,7,6,4,8,7,5,4,4,1,2,6,8,5,7,6,4,7,5,2,5,-3.4881145,0.43778241,4.1120017,1.800162,2.3118397
-209.37318,1,0.50720558,1,1,0,209.7954,0.49120798,0.61502846,0.30210688,0.31292157,-2.0055613,-1.6235638,-1.6659111,-2.272407,-1.6659111,-1.9722044,-1.7123342,-1.5574662,-1.4395424,-1.6111128,6,8,4,8,5,6,7,6,2,3,5,8,6,8,2,7,6,6,4,8,-2.115734,0.30858775,1.9680694,0.6073221,1.3607473
-209.37318,0.02235932,0.8633763,1,1,0,209.41609,0.49120798,0.61502846,0.30210688,0.31292157,-2.0055613,-1.6235638,-1.6659111,-2.272407,-1.6659111,-1.9722044,-1.7123342,-1.5574662,-1.4395424,-1.6111128,7,6,1,7,5,4,6,5,2,2,5,6,3,8,6,2,4,4,1,5,-2.115734,0.73285574,1.3818094,1.012667,0.36914245
-209.37642,0.98514802,0.073677637,3,11,0,211.37561,0.37720719,0.60812166,0.22938786,0.3787338,-1.876742,-1.7115845,-1.6504539,-2.1393065,-1.6504539,-1.819844,-1.6680113,-1.5563365,-1.3938775,-1.6517882,7,8,6,8,4,7,5,6,1,4,7,4,4,7,4,6,5,8,3,5,-2.2198651,0.11589718,1.9868563,0.23027104,1.7565852
-209.09859,0.97556676,0.12573269,2,7,0,210.645,0.42871778,0.63961659,0.27421501,0.36540159,-1.9281689,-1.6601712,-1.6453185,-2.203186,-1.6453185,-1.8879501,-1.67507,-1.5426298,-1.4039231,-1.6228925,5,7,3,7,3,4,4,7,2,4,8,5,5,7,2,4,5,8,1,4,-1.9933268,0.41870444,2.7698054,1.1597298,1.6100756
-209.09859,0.62300156,0.21430848,1,3,0,212.09521,0.42871778,0.63961659,0.27421501,0.36540159,-1.9281689,-1.6601712,-1.6453185,-2.203186,-1.6453185,-1.8879501,-1.67507,-1.5426298,-1.4039231,-1.6228925,8,6,6,8,2,4,5,6,3,5,7,2,4,4,6,3,8,3,5,6,-1.9933268,0.66787145,1.055677,0.70505656,0.35062049
-209.96558,0.97637294,0.12179808,3,7,0,210.08119,0.52323538,0.69692275,0.36465464,0.33226811,-2.0538456,-1.5816462,-1.6442607,-2.3447311,-1.6442607,-2.0316428,-1.7069018,-1.5328602,-1.4323981,-1.5744181,5,8,1,6,6,5,6,6,5,5,7,1,4,6,2,4,7,7,1,2,-1.6842003,0.29038038,1.7108141,0.49678686,1.2140273
-209.51606,0.96294092,0.21367851,3,7,0,210.70264,0.4260478,0.77869798,0.33176256,0.44693542,-1.9174394,-1.6349794,-1.5992103,-2.2325135,-1.5992103,-1.8930861,-1.632643,-1.4958643,-1.3644325,-1.5848784,7,7,7,7,6,4,8,4,1,2,6,7,5,6,8,7,5,4,1,6,-1.371864,0.83938215,4.6352641,3.8907579,0.74450613
