# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:14:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6bc4efa0.json
# init = 2 (Default)
# random
#   seed = 302673230
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281814-1-3e705d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281814-1-9460e9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-233.21894,1,0.25,1,1,0,259.83949,0.56023456,4.4755982,2.5073848,1.9682134,-2.3878097,-1.3231749,-1.4009898,-3.0910181,-1.4009898,-2.3831632,-1.5637621,-1.264521,-1.2732584,-1.3044698,8,5,7,4,3,3,8,4,2,5,8,7,5,8,3,5,6,5,1,5,-2.6312228,0.49729901,1.5692367,0.78037986,0.78885684
-233.21894,0,14.38551,0,1,1,233.47399,0.56023456,4.4755982,2.5073848,1.9682134,-2.3878097,-1.3231749,-1.4009898,-3.0910181,-1.4009898,-2.3831632,-1.5637621,-1.264521,-1.2732584,-1.3044698,8,8,5,7,4,4,6,4,3,4,7,8,2,5,6,7,5,6,2,4,-2.6312228,0.13203785,1.7412357,0.22990901,1.5113267
-233.21894,0,2.4311673,0,1,1,234.50664,0.56023456,4.4755982,2.5073848,1.9682134,-2.3878097,-1.3231749,-1.4009898,-3.0910181,-1.4009898,-2.3831632,-1.5637621,-1.264521,-1.2732584,-1.3044698,8,6,6,6,6,5,5,7,4,4,8,6,5,8,4,7,7,7,4,3,-2.6312228,0.39989173,1.1571254,0.46272489,0.69440053
-210.05176,0.97961924,0.23979141,3,7,0,228.85638,0.33008226,0.59076422,0.19500079,0.39576343,-1.8366013,-1.7620116,-1.6528944,-2.089483,-1.6528944,-1.7631743,-1.6625383,-1.5690783,-1.3836737,-1.6757248,7,8,3,8,5,8,4,8,2,5,4,7,6,8,7,4,6,8,3,4,-2.390997,0.063434243,2.4724713,0.15683935,2.3156319
-212.07332,0.74134572,0.30598565,2,3,0,213.25833,0.26244352,0.45444574,0.11926634,0.33517941,-1.8286884,-1.8511008,-1.7176304,-2.02835,-1.7176304,-1.7093271,-1.7195575,-1.6467959,-1.426155,-1.7532844,6,6,4,8,4,3,6,5,3,2,7,8,8,8,7,4,5,8,4,6,-3.6790914,0.68550532,2.9948116,2.0529593,0.9418523
-209.11126,1,0.22074201,2,3,0,211.97197,0.43405986,0.65349825,0.28365736,0.36984089,-1.9334732,-1.6527036,-1.6410625,-2.2129275,-1.6410625,-1.8961203,-1.6726806,-1.5375432,-1.401911,-1.6166056,6,3,6,8,5,3,4,5,2,2,4,8,3,5,4,3,7,6,3,1,-1.9148209,0.52925534,2.1522745,1.1391028,1.0131717
-209.11126,0.19928917,0.36741199,1,1,0,210.82026,0.43405986,0.65349825,0.28365736,0.36984089,-1.9334732,-1.6527036,-1.6410625,-2.2129275,-1.6410625,-1.8961203,-1.6726806,-1.5375432,-1.401911,-1.6166056,6,3,4,5,4,2,6,8,3,8,6,6,5,4,6,4,5,7,3,1,-1.9148209,0.19190566,1.2681325,0.2433618,1.0247707
-209.14797,0.99824838,0.053617836,3,15,0,209.46843,0.45579507,0.58821415,0.26810511,0.32010904,-1.9628833,-1.653791,-1.6700378,-2.2216324,-1.6700378,-1.9207994,-1.7047254,-1.5647469,-1.4324572,-1.6317083,5,2,7,8,5,4,6,4,2,5,6,8,4,5,8,3,2,2,2,2,-2.2929376,0.37635321,2.8887079,1.0871745,1.8015334
-209.29236,0.98571499,0.095053791,2,7,0,210.03858,0.41372341,0.71400189,0.2953993,0.4186026,-1.9053219,-1.6577283,-1.6169523,-2.2018792,-1.6169523,-1.8713035,-1.6452549,-1.5160622,-1.3755665,-1.6062773,7,8,5,6,5,7,4,7,1,5,8,3,2,4,3,5,7,5,4,7,-1.6355528,0.12074677,1.338201,0.16158344,1.1766175
-209.95914,0.94802513,0.16706712,3,7,0,210.61919,0.3447002,0.52501747,0.18097363,0.34404384,-1.8635441,-1.7582332,-1.6843512,-2.0963682,-1.6843512,-1.7841428,-1.6948837,-1.5959833,-1.415164,-1.6935875,7,6,5,7,3,6,8,6,3,4,8,7,5,7,4,7,2,8,5,2,-2.8551077,0.22403168,2.2945231,0.51404587,1.7804773
-209.41781,0.9881779,0.26528717,2,3,0,210.15304,0.49556721,0.61016453,0.30237753,0.307787,-2.0111896,-1.6225138,-1.6686642,-2.2762574,-1.6686642,-1.9777277,-1.7161977,-1.5600537,-1.4431023,-1.611582,8,6,8,8,4,5,6,5,3,3,3,5,4,8,4,6,6,7,3,2,-2.1451415,0.68750901,2.2579467,1.5523587,0.705588
-210.09483,0.59379724,0.48266654,1,1,0,210.44322,0.53710006,0.65755,0.35317014,0.30437985,-2.0717346,-1.585772,-1.6606114,-2.3493491,-1.6606114,-2.0461382,-1.7260648,-1.5496621,-1.4498033,-1.5832176,7,3,7,8,4,4,8,7,5,5,7,2,3,6,5,2,6,5,6,3,-1.8813985,0.52843047,1.2232643,0.64641015,0.57685419
-209.17526,1,0.25444341,2,3,0,209.96449,0.4030841,0.60732443,0.24480282,0.36252161,-1.9031023,-1.6886705,-1.6540941,-2.1669577,-1.6540941,-1.8527166,-1.6768233,-1.5553838,-1.404096,-1.6426027,5,7,6,7,5,6,5,8,2,5,6,5,3,4,6,3,6,5,5,5,-2.2008908,0.1770623,6.9746838,1.2349535,5.7397302
-209.17526,0.21033563,0.4841332,1,1,0,209.91267,0.4030841,0.60732443,0.24480282,0.36252161,-1.9031023,-1.6886705,-1.6540941,-2.1669577,-1.6540941,-1.8527166,-1.6768233,-1.5553838,-1.404096,-1.6426027,8,7,4,7,4,4,7,7,2,1,5,7,5,8,4,4,4,6,2,6,-2.2008908,0.51645454,3.5406944,1.8286077,1.7120867
-209.18565,0.99933319,0.078287152,4,15,0,209.27709,0.43257599,0.55521306,0.24017184,0.31504122,-1.9399765,-1.6793064,-1.6805504,-2.187451,-1.6805504,-1.8885182,-1.7080096,-1.5780536,-1.4347469,-1.6516519,4,6,3,7,3,1,8,5,2,4,5,7,5,3,7,5,6,5,1,8,-2.5350178,0.75878898,1.6238272,1.2321422,0.391685
-209.31739,0.98469229,0.14969152,3,7,0,209.72026,0.41282921,0.72043169,0.29741524,0.42301644,-1.9038231,-1.6574004,-1.6147301,-2.2021553,-1.6147301,-1.8703731,-1.6429847,-1.5139586,-1.3734197,-1.6048774,7,7,4,8,3,6,6,4,3,1,7,5,5,6,5,3,6,8,1,4,-1.6083819,0.61525867,3.4470277,2.1208137,1.326214
-209.14449,1,0.27204506,2,3,0,209.29931,0.40897709,0.62446208,0.25539068,0.36907139,-1.9074587,-1.6798608,-1.6481168,-2.1770123,-1.6481168,-1.8608884,-1.6726611,-1.5484145,-1.4006397,-1.6347894,8,6,5,8,5,4,3,6,3,4,6,7,2,8,1,5,6,8,1,2,-2.093011,0.86468953,2.1757986,1.8813902,0.29440834
-209.14449,0.055431543,0.51464242,1,1,0,209.96686,0.40897709,0.62446208,0.25539068,0.36907139,-1.9074587,-1.6798608,-1.6481168,-2.1770123,-1.6481168,-1.8608884,-1.6726611,-1.5484145,-1.4006397,-1.6347894,6,8,7,5,5,4,7,7,2,4,8,5,4,6,7,3,5,7,4,1,-2.093011,0.23765285,1.8476544,0.43910033,1.4085541
-210.44019,0.98958888,0.055152754,3,15,0,210.59722,0.43223506,0.93864886,0.40571694,0.53293192,-1.9229113,-1.6055658,-1.5601072,-2.2780081,-1.5601072,-1.914318,-1.5996333,-1.4545084,-1.3339785,-1.5483832,5,5,4,7,6,4,2,6,4,5,5,8,2,7,7,6,5,4,2,2,-0.92001805,0.25963118,2.0663063,0.53647754,1.5298287
-209.13275,0.9995171,0.10167388,3,15,0,210.41561,0.44153005,0.57677041,0.25466147,0.32210894,-1.9475683,-1.6668204,-1.672493,-2.202466,-1.672493,-1.9011809,-1.7030007,-1.5687926,-1.4304462,-1.6405055,6,6,7,6,4,6,6,4,3,4,7,4,5,8,5,5,5,8,1,5,-2.376161,0.65125533,2.3486425,1.529566,0.81907655
-209.24505,0.94771807,0.19139471,1,3,0,209.68185,0.42115244,0.70652174,0.29755336,0.40896838,-1.9147507,-1.652398,-1.6205948,-2.2095363,-1.6205948,-1.8813883,-1.6505874,-1.5185366,-1.3808687,-1.6055436,5,8,6,8,5,6,6,7,3,4,7,8,7,6,7,4,6,5,3,5,-1.6635894,0.26668611,2.0725549,0.5527216,1.5198333
-211.77665,0.63621257,0.30616892,2,3,0,211.9185,0.27724166,0.44679231,0.12386944,0.32292287,-1.8404993,-1.8367123,-1.7227762,-2.039177,-1.7227762,-1.7248957,-1.7255303,-1.6475416,-1.4340159,-1.7511203,5,8,7,8,5,5,4,4,1,2,5,8,4,4,4,8,5,8,3,3,-3.728771,0.20393245,2.2255178,0.4538553,1.7716625
-210.61761,0.95688537,0.19508991,2,3,0,212.53438,0.33676511,0.80022375,0.26948744,0.53073631,-1.8103276,-1.733283,-1.580498,-2.1220889,-1.580498,-1.7659791,-1.5938809,-1.4977711,-1.3215602,-1.6179893,7,8,5,8,4,5,4,8,5,5,6,3,4,6,8,5,6,5,1,2,-1.3883162,0.23860318,2.4738229,0.59026201,1.8835609
-210.66928,0.65360081,0.31828855,1,3,0,213.44449,0.56977006,0.57778584,0.32920507,0.24858077,-2.11187,-1.5990636,-1.6980534,-2.3596039,-1.6980534,-2.0787298,-1.7698692,-1.589004,-1.4894805,-1.6045825,7,8,5,8,4,3,5,6,4,3,6,2,6,7,7,3,3,6,7,3,-2.3750715,0.74829349,1.931932,1.4456522,0.48627987
-210.05277,1,0.21497048,2,3,0,210.60817,0.53963004,0.59046154,0.31863078,0.27183076,-2.0698833,-1.606629,-1.6858686,-2.3253243,-1.6858686,-2.0375098,-1.7472228,-1.5762985,-1.4704515,-1.6069007,8,8,5,7,5,8,4,6,2,4,7,7,5,8,2,2,6,5,1,4,-2.2765675,0.22110913,1.5838593,0.35020575,1.2336536
-209.55208,1,0.39335834,1,1,0,209.9917,0.5029756,0.56185412,0.28259891,0.27925521,-2.0202906,-1.6344075,-1.6898452,-2.2686317,-1.6898452,-1.9814874,-1.736681,-1.5817648,-1.4624982,-1.6280555,8,7,3,5,4,7,7,7,3,2,6,7,1,6,5,3,8,6,1,3,-2.4679228,0.50620349,3.5137599,1.7786775,1.7350824
-209.55208,6.7396631e-18,0.71255642,1,1,0,213.86919,0.5029756,0.56185412,0.28259891,0.27925521,-2.0202906,-1.6344075,-1.6898452,-2.2686317,-1.6898452,-1.9814874,-1.736681,-1.5817648,-1.4624982,-1.6280555,8,7,3,8,6,4,8,4,3,3,6,7,3,7,5,4,6,4,2,3,-2.4679228,0.65798936,2.8656029,1.8855362,0.98006668
-209.95827,0.9947786,0.077038643,3,7,0,210.06216,0.50040445,0.47834016,0.23936355,0.23897662,-2.0187881,-1.6682371,-1.7290616,-2.2367852,-1.7290616,-1.9673682,-1.7692289,-1.6227084,-1.4937946,-1.6663654,7,7,6,4,2,5,6,7,1,4,8,6,5,6,5,4,6,1,2,6,-3.176014,0.045230942,2.7428252,0.12406057,2.6187647
-209.41154,0.99276143,0.138086,2,7,0,210.486,0.41633139,0.51245904,0.21335278,0.29910625,-1.9293302,-1.7035209,-1.6985179,-2.161487,-1.6985179,-1.8672944,-1.7207535,-1.5982309,-1.4456804,-1.6743852,6,7,2,8,3,4,8,4,3,3,8,4,5,4,3,3,3,5,2,4,-2.888547,0.84399597,3.324015,2.8054552,0.51855975
-210.06246,0.82720763,0.24375406,2,3,0,211.10786,0.3414368,0.70451527,0.24054744,0.46396783,-1.8273221,-1.7355821,-1.6107079,-2.1147924,-1.6107079,-1.7731792,-1.6236832,-1.5256119,-1.3494274,-1.6381348,6,6,7,8,6,4,3,8,2,4,7,8,5,3,8,6,4,7,2,6,-1.7534097,0.25686038,2.1872003,0.56180508,1.6253952
-210.25761,1,0.2708643,2,3,0,210.51655,0.3197411,0.57573056,0.18408472,0.39164584,-1.8312617,-1.7752651,-1.6585933,-2.0782864,-1.6585933,-1.7521875,-1.6666941,-1.5771072,-1.3861403,-1.6848249,6,7,2,7,4,3,4,8,3,5,7,6,4,7,5,6,3,5,3,5,-2.5088002,0.33142518,1.8597557,0.61636989,1.2433859
-210.25761,0.0027428396,0.48040749,2,3,0,212.10374,0.3197411,0.57573056,0.18408472,0.39164584,-1.8312617,-1.7752651,-1.6585933,-2.0782864,-1.6585933,-1.7521875,-1.6666941,-1.5771072,-1.3861403,-1.6848249,7,8,6,8,4,4,4,8,5,2,6,8,6,7,7,6,5,7,2,4,-2.5088002,0.36251448,2.0128446,0.7296853,1.2831593
-209.2651,0.99983709,0.057506153,5,31,0,210.31486,0.47762999,0.59123902,0.28239349,0.30884553,-1.9887197,-1.6389645,-1.672694,-2.2481347,-1.672694,-1.9505491,-1.7136458,-1.5655352,-1.441018,-1.6238741,8,5,4,7,4,4,8,2,2,2,4,8,2,7,4,4,3,6,3,3,-2.2671671,0.87634582,1.5953646,1.3980911,0.19727351
-210.74464,0.96430511,0.10227628,3,15,0,211.53196,0.55765845,0.71388375,0.39810331,0.31578044,-2.1104956,-1.5593677,-1.6477426,-2.4033438,-1.6477426,-2.0892414,-1.7259381,-1.5355708,-1.4467995,-1.5595374,6,3,6,8,4,6,6,3,3,3,7,6,4,7,8,7,6,4,3,4,-1.6192296,0.84344678,2.2870995,1.9290467,0.35805277
-210.16305,0.99087317,0.16401519,3,7,0,211.23767,0.51700141,0.76676175,0.3964169,0.37034485,-2.0491224,-1.5675456,-1.6218459,-2.3607899,-1.6218459,-2.0328946,-1.6860761,-1.5094321,-1.4126819,-1.556146,8,2,1,7,6,7,3,8,4,4,6,3,3,8,3,4,3,7,3,5,-1.3942163,0.631551,1.1152777,0.70435477,0.41092297
-209.81925,0.8211621,0.27991937,2,3,0,211.40542,0.50868882,0.51023871,0.25955273,0.25068598,-2.0273134,-1.6510895,-1.7144804,-2.2568085,-1.7144804,-1.9819663,-1.7593883,-1.6072152,-1.4841734,-1.6489306,4,8,3,4,4,4,3,5,1,1,8,7,5,5,3,4,6,5,8,5,-2.8797936,0.15664706,1.4968597,0.23447867,1.262381
-209.54569,0.7319428,0.30424148,2,3,0,210.71175,0.36261469,0.61934728,0.22458442,0.39476285,-1.860828,-1.7237127,-1.6442564,-2.125733,-1.6442564,-1.8014918,-1.6594225,-1.5531984,-1.3845602,-1.6537256,7,7,5,5,4,5,7,5,1,4,5,7,2,4,8,8,3,6,4,5,-2.1680141,0.30783891,2.2209122,0.6836832,1.537229
-209.5282,0.90139073,0.26212481,2,3,0,210.2544,0.38095345,0.71405085,0.27202014,0.44203072,-1.8675712,-1.6899842,-1.6121629,-2.1618232,-1.6121629,-1.825823,-1.6328195,-1.5175477,-1.3618368,-1.6191286,8,5,2,8,7,7,7,6,3,1,7,7,2,8,6,6,5,6,2,6,-1.6634706,0.64355152,0.68921338,0.44354432,0.24566906
-210.17674,0.85918481,0.34975929,2,3,0,210.36078,0.49229874,0.8360328,0.41157789,0.42445491,-2.0136521,-1.5692959,-1.5974271,-2.3450494,-1.5974271,-2.0023752,-1.655154,-1.4854324,-1.3848614,-1.5468833,7,3,8,8,3,4,6,4,3,2,7,7,8,7,2,1,4,7,3,2,-1.1630625,0.58639668,4.199933,2.4628268,1.7371062
-209.13583,0.32152712,0.41721343,2,3,0,213.33542,0.42248854,0.57907169,0.24465115,0.33442053,-1.9267553,-1.680013,-1.6685993,-2.1821093,-1.6685993,-1.8767181,-1.6946781,-1.5671742,-1.4218373,-1.6458815,6,8,4,8,6,6,4,7,6,5,6,7,6,8,7,5,5,7,1,2,-2.3709252,0.20188986,0.74867197,0.15114928,0.59752269
-209.31903,0.99317471,0.12736044,3,7,0,209.44673,0.48551106,0.61545284,0.29880916,0.31664368,-1.9982241,-1.626843,-1.6646187,-2.2654127,-1.6646187,-1.9642351,-1.7092735,-1.5565263,-1.4367628,-1.612665,7,4,7,8,5,7,4,4,5,3,2,8,3,6,6,6,6,6,6,1,-2.1137019,0.55787818,1.0444769,0.58269087,0.46178602
-210.74878,0.79977624,0.21368475,2,3,0,210.99216,0.44357409,0.39749691,0.17631933,0.22117758,-1.9749195,-1.7321155,-1.7685116,-2.1624592,-1.7685116,-1.8975006,-1.7904342,-1.6663703,-1.5123704,-1.7252272,6,6,6,7,3,5,5,7,4,2,8,7,6,8,4,5,5,6,1,5,-4.1316473,0.32456969,2.6602731,0.86344403,1.7968291
-209.62343,1,0.21968201,2,3,0,210.81121,0.40031825,0.49142138,0.19672494,0.29469643,-1.9182995,-1.7213177,-1.7073123,-2.1423874,-1.7073123,-1.8486468,-1.7257259,-1.6091355,-1.4491218,-1.6886988,7,4,5,8,3,6,8,2,4,2,7,8,5,7,3,6,5,8,2,2,-3.0906189,0.68788247,5.2226174,3.5925469,1.6300704
-209.99915,0.89736517,0.37047595,2,3,0,210.85766,0.34604449,0.70962882,0.24556314,0.46406568,-1.831216,-1.7295388,-1.6094641,-2.1206456,-1.6094641,-1.7791195,-1.6232954,-1.523188,-1.3496075,-1.6348433,8,5,5,8,4,4,3,4,2,7,5,4,3,3,4,7,4,7,4,3,-1.7241793,0.67687093,1.4518042,0.98268409,0.46912014
-211.5199,0.42263508,0.48184643,2,3,0,211.87589,0.26865688,0.57812213,0.15531649,0.42280565,-1.7916426,-1.8365067,-1.6545146,-2.032565,-1.6545146,-1.6951144,-1.6575777,-1.5883017,-1.370142,-1.7054068,8,4,5,7,4,2,4,6,8,4,5,8,8,7,8,4,4,7,6,3,-2.5939989,0.65126511,2.2248827,1.4489885,0.77589423
-209.33615,1,0.19609433,2,3,0,211.52299,0.38622262,0.6612644,0.25539527,0.40586913,-1.8789809,-1.6932074,-1.6311273,-2.1584416,-1.6311273,-1.8318622,-1.6517246,-1.5353774,-1.3796687,-1.6317773,8,6,4,6,4,5,5,7,2,4,6,8,5,6,8,7,3,6,2,5,-1.9096801,0.54603587,4.5217646,2.4690457,2.052719
-209.33615,0.71469837,0.32720519,1,3,0,210.34042,0.38622262,0.6612644,0.25539527,0.40586913,-1.8789809,-1.6932074,-1.6311273,-2.1584416,-1.6311273,-1.8318622,-1.6517246,-1.5353774,-1.3796687,-1.6317773,7,6,5,7,7,6,2,7,1,5,4,6,7,6,3,4,4,7,2,3,-1.9096801,0.076279016,4.9997895,0.38137902,4.6184105
