# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:13:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b679273c31.json
# init = 2 (Default)
# random
#   seed = 665692830
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281813-2-313911.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281813-2-7f7780.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-214.42484,1,0.25,3,7,0,227.72028,0.6883168,0.46462777,0.3198111,0.14481667,-2.2652077,-1.6259824,-1.7793925,-2.4487563,-1.7793925,-2.2144043,-1.887334,-1.6818272,-1.5880581,-1.637292,8,6,1,6,1,4,8,6,6,2,7,2,3,8,4,3,8,3,2,4,-3.4680362,0.50233193,1.773979,0.89112631,0.88285271
-214.42484,0,14.38551,0,1,1,215.00966,0.6883168,0.46462777,0.3198111,0.14481667,-2.2652077,-1.6259824,-1.7793925,-2.4487563,-1.7793925,-2.2144043,-1.887334,-1.6818272,-1.5880581,-1.637292,7,7,2,7,3,5,5,7,4,3,8,5,3,6,2,2,3,7,2,1,-3.4680362,0.56151737,1.040048,0.58400502,0.45604298
-214.42484,0,2.4311673,0,1,1,216.98168,0.6883168,0.46462777,0.3198111,0.14481667,-2.2652077,-1.6259824,-1.7793925,-2.4487563,-1.7793925,-2.2144043,-1.887334,-1.6818272,-1.5880581,-1.637292,5,8,5,7,6,5,5,5,3,3,7,6,4,5,8,4,5,4,5,3,-3.4680362,0.18389219,1.7397671,0.31992958,1.4198375
-214.09888,0.97923707,0.23979141,1,1,0,214.79014,0.68081884,0.49663973,0.33812169,0.15851805,-2.2656003,-1.6096681,-1.7623522,-2.4627082,-1.7623522,-2.2169509,-1.8728646,-1.6631782,-1.5733788,-1.6211493,7,7,6,5,3,3,4,7,2,5,8,3,4,8,5,6,5,8,3,2,-3.1417043,0.59363226,1.5893198,0.94347152,0.64584829
-210.26589,0.72433423,0.30565172,2,3,0,214.21607,0.31919372,0.57966311,0.18502482,0.39463829,-1.8299143,-1.7753769,-1.6568204,-2.0781124,-1.6568204,-1.7512672,-1.6649048,-1.5755699,-1.3844249,-1.6837383,8,6,2,7,7,8,6,5,4,4,5,7,3,5,5,6,3,6,3,7,-2.4827017,0.38755764,3.1124108,1.2062386,1.9061722
-209.47738,0.84978647,0.20958655,3,7,0,212.28841,0.40457545,0.75158708,0.30407368,0.4475134,-1.8918088,-1.6601083,-1.603683,-2.1982632,-1.603683,-1.8601515,-1.630669,-1.5042566,-1.3615763,-1.6000049,3,8,6,7,5,7,5,5,5,6,3,7,6,7,6,6,4,6,2,4,-1.4876289,0.40582557,1.4885327,0.60408464,0.88444807
-210.41328,0.88812767,0.21992656,3,7,0,211.04579,0.34993351,0.80934268,0.28321612,0.52612656,-1.8236061,-1.7152359,-1.5793784,-2.1394606,-1.5793784,-1.784233,-1.595305,-1.4928626,-1.3243937,-1.6100109,7,7,5,7,5,5,5,6,3,4,7,5,4,3,6,7,6,6,2,8,-1.3400837,0.50924822,0.99528378,0.50684649,0.48843729
-210.41328,0.70666416,0.27158947,1,1,0,211.48679,0.34993351,0.80934268,0.28321612,0.52612656,-1.8236061,-1.7152359,-1.5793784,-2.1394606,-1.5793784,-1.784233,-1.595305,-1.4928626,-1.3243937,-1.6100109,7,6,6,7,3,4,8,6,6,2,4,7,5,5,6,7,8,5,3,3,-1.3400837,0.48555577,1.1638898,0.56513342,0.59875641
-210.24328,0.91447784,0.19561611,3,7,0,211.89864,0.51573722,0.78617845,0.40546149,0.38071696,-2.0484772,-1.5638434,-1.6161753,-2.3656311,-1.6161753,-2.0338083,-1.6809324,-1.5034902,-1.4077991,-1.5514061,8,7,6,6,3,3,4,5,1,6,8,5,5,5,6,6,7,6,3,7,-1.324407,0.36819411,3.3884845,1.24762,2.1408644
-211.07285,0.94213865,0.27551376,2,3,0,211.60673,0.51487444,0.40141719,0.20667945,0.19473774,-2.0382412,-1.7000605,-1.7763329,-2.2244492,-1.7763329,-1.9755979,-1.8137668,-1.6712859,-1.5365488,-1.7057993,8,4,5,7,3,4,5,4,2,6,6,2,5,7,5,4,6,6,5,2,-4.0662949,0.83863094,2.6443688,2.2176495,0.42671931
